"Step","Entropy SGD, L=20, s=51, gamma=0.3, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.3, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.3, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03577708763999664","0.03577708763999664","0.03577708763999664"
"1","0.03469293335297246","0.03469293335297246","0.03469293335297246"
"2","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"3","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"4","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"5","0.0315825325118693","0.0315825325118693","0.0315825325118693"
"6","0.0315825325118693","0.0315825325118693","0.0315825325118693"
"7","0.030942346674889147","0.030942346674889147","0.030942346674889147"
"8","0.03147400185818051","0.03147400185818051","0.03147400185818051"
"9","0.030942346674889147","0.030942346674889147","0.030942346674889147"
